Model,RMSE,MAE,R2,Overstock%,Stockout%,Cost_Index,MASE,RMSSE,WMAPE,TheilsU
LightGBM,1.1033878026196358,0.740369494988996,0.23036626024950413,7.004704652378463,36.644014636696284,27.752221641400933,0.7204002414345855,0.6454799951076454,94.23332294836655,0.46485276855280167
Hybrid,1.1115044316239604,0.7392662835251701,0.21900161098853688,6.5342394145321485,37.1144798745426,27.940407736539466,0.7193267858015905,0.6502282093235026,94.09290754382238,0.470290100633569
Prophet,1.227046682377653,0.8454470883661578,0.04819076999863181,4.861474124411918,38.787245164662835,28.609513852587558,0.8226436808936864,0.7178202302559014,107.60747039550631,0.5317228052717015
Naive (Mean),1.2546535558266718,0.9002649561815157,0.00488016127816715,4.338734971249346,39.10088865656038,28.67224255096707,0.8759830006203858,0.7339702044503804,114.58462150201196,0.5204294521180698
Naive (Last Day),1.7097092752952556,1.0283397345185004,-0.8478736661246655,6.2205959226346055,28.85520125457397,22.06481965499216,1.0006033447325053,1.0001770293572014,130.88582249726488,0.5764312995223665
Naive (Last Week),1.7168363569917826,1.0408863747189523,-0.863311842481288,5.9592263460533195,29.900679560899114,22.718243596445376,1.0128115768257695,1.0043463600745468,132.48274350215274,0.5793962974876776
Naive (Drift),2.9577549771452,1.9043387349712493,-4.530343774452223,10.663878724516467,28.332462101411394,23.031887088342916,1.8529748912290223,1.7302816504266134,242.3819028609448,0.6851646591588579
